;;;;;$ 930;1,55;;;;;;
;;;;;;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS $;PRECIO COSTO NETO  ;TIPO CAMBIO $;PORCENTAJE;PRECIO VENTA NETO ;;;;;
\PROVISIONES\ABARROTES;BOUILLON MAGGI SURT 12U - CALDOS SURTIDOS;BOX;$ 1.252;1,35;$ 930;1,55;2,09;;;;;
\PROVISIONES\ABARROTES;BOUILLON CHICKEN - CALDOS MAGGI GALLINA 12U;GRS; $1.252 ;1,35;$ 930;1,55;2,09;;;;;
\PROVISIONES\ABARROTES;BOUILLON MEAT/BEEF - CALDOS MAGGI CARNE 12U;GRS; $1.252 ;1,35;$ 930;1,55;2,09;;;;;
\PROVISIONES\ABARROTES;BOUILLON SAUSAGE - CALDOS MAGGI LONGANIZA 8U;GRS; $1.083 ;1,16;$ 930;1,55;1,81;;;;;
\PROVISIONES\ABARROTES;BREAD CHRISTMAS - PAN DE PASCUA 700 GR;UNIT;$ 0;0,00;$ 930;1,55;0,00;;;;;
\PROVISIONES\ABARROTES;BREAD CRUMBS - PAN RALLADO;KGS;$ 5.546;5,96;$ 930;1,55;9,24;;;;;
\PROVISIONES\ABARROTES;BREAD CRUMBS 250 GR - PAN RALLADO 250 GR;PKT;$ 1.387;1,49;$ 930;1,55;2,31;;;;;
\PROVISIONES\ABARROTES;BREAD MUESLI BROT - MUESLI 300 GRS;PKT;$ 0;0,00;$ 930;1,55;0,00;;;;;
\PROVISIONES\ABARROTES;BREAD PUMPERNICKEL 500 GR - PAN PUMPERNICKEL ;PKT;$ 2.178;2,34;$ 930;1,55;3,63;;;;;
\PROVISIONES\ABARROTES;BREAD RYE SLICED WHOLE MEAL ORGANIC  500 GRS - PAN INTEGRAL RYE;PKT;$ 2.689;2,89;$ 930;1,55;4,48;;;;;
\PROVISIONES\ABARROTES;BREAD SLICED MULTI GRAIN - MOLDE MULTIGRANO 620 GRS;PKT;$ 2.512;2,70;$ 930;1,55;4,19;;;;;
\PROVISIONES\ABARROTES;BREAD TOAST - MOLDE 560 GRS;PKT;$ 2.290;2,46;$ 930;1,55;3,82;;;;;
\PROVISIONES\ABARROTES;BREAD TORTILLA PACK X 8 UNID - TORTILLAS ;PKT;$ 2.176;2,34;$ 930;1,55;3,63;;;;;
\PROVISIONES\ABARROTES;BROWN RICE - ARROZ INTEGRAL;KGS;$ 2.260;2,43;$ 930;1,55;3,77;;;;;
